id;categoria;texto
1;2;Resistencia es conocida como:
2;2;¿Cuántas esculturas hay en Resistencia?
3;7;¿En qué sectores se divide geográficamente la provincia del Chaco?
4;7;Campo del Cielo: Patrimonio Cultural y Turístico del Chaco, ¿Dónde se ubica?
5;7;Al norte el límite natural establecido entre la Provincia de Chaco y Formosa es:
6;7;Al sur, el límite establecido entre la Provincia del Chaco y Santa Fe es: 
7;6;El ex ferrocarril General Belgrano conectaba a: 
8;3;En el ámbito automovilístico deportivo Chaco tiene un exponente a nivel nacional e internacional, ¿Quién es?
9;3;En el ámbito de los juegos olímpicos, el Chaco tiene un medallista en: 
10;3;Marcela Gómez, chaqueña, participó en los Juegos Olímpicos de Tokio en:
11;3;El club de fútbol más antiguo del Chaco es
12;3;Por Decreto N° 1491 el Gobierno de la Provincia del Chaco se declaró a un instrumento musical como “Patrimonio Cultural de la provincia del Chaco”, ¿Cuál es? 
13;6;La palabra Chacú del cual deriva el nombre de nuestra provincia, tenía un significado ¿Cuál era?
14;7;La superficie total de la provincia del Chaco es de:
15;7;La población actual del Chaco oscila entre:
16;6;¿Quién fue el primer gobernador del Territorio Nacional del Chaco?
17;2;Un escritor reconocido en el ámbito chaqueño recibió el Premio Pionero de la Letras Chaqueñas, otorgado por la provincia del Chaco y la SADE local en 1985. ¿Quién fue?
18;6;En la bandera del Chaco hay un arado rodeado de 25 estrellas ¿Qué representan? 
19;2;En un emblemático edificio de la ciudad de Resistencia se encuentra un mural del reconocido pintor Emilio Pettoruti ¿Dónde se encuentra emplazado?
20;2;La producción destacada chaqueña que perdura en la memoria y porla cual se la reconoce a la provincia fue:
21;2;¿Cuál es la flor provincial del Chaco?
22;5;Un conjunto coral chaqueño fue reconocido como “Patrimonio Cultural Viviente” ¿Cuál es?
23;6;En 1939 es erigida la Diócesis de Resistencia ¿Quién fue el primer obispo?
24;6;El Puente General Belgrano que une las provincias de Chaco y Corrientes se terminó de construir en:
25;6;¿Quién fue el primer gobernador de la Provincia del Chaco?
26;6;Desde cuándo existe la Provincia del Chaco:
27;6;Nuestras primeras poblaciones originarias, pertenecían a las etnias:
28;6;La primera ciudad colonial del Chaco fue
29;6;San Fernando del Río Negro fue una
30;6;¿Qué reducciones franciscanas se fundaron en el actual territorio del Chaco a finales del siglo XVIII?
31;6;La Gobernación del Chaco se creó en 
32;7;La ley 1532 divido a la Gobernación del Chaco en 
33;6;Las autoridades que administraban la Gobernación del Chaco
34;6;La Conquista Militar del Chaco se produjo
35;6;La llegada de los inmigrantes se dio a raíz 
36;4;A inicios del siglo XX, la actividad económica más importante del territorio era
37;4;El tanino se desarrolló en 
38;4;Las localidades algodoneras fueron
39;7;Nuestra primera constitución se promulgó en
40;7;¿Cuántos departamentos tiene la provincia del Chaco?
41;7;¿Cuántas rutas nacionales recorren la provincia?
42;7;La Ruta Nacional 16 recorre entre: 
43;7;¿Qué Parques Nacionales existen en el Chaco?
44;1;Campo del Cielo es reconocido por
45;5;Isla del Cerrito se realiza la: 
46;5;La Fiesta Provincial del Inmigrante se realiza en 
47;5;El Festival Nacional Taninero se desarrolla en 
48;5;La Fiesta Provincial del Chivo se desarrolla en
49;5;La Fiesta Nacional del Algodón se desarrolla en 
50;1;Las Reservas Naturales del Chaco son
51;5;La Feria de Artesanía Aborigen Chaqueña se realiza en
52;7;¿Qué curso de agua se encuentra emplazado entre la provincia del Chaco y Formosa?
53;7;El relieve del Chaco característico es
54;7;Entre los ríos autóctonos del Chaco, se encuentran:
55;1;Juan José Castelli es considerada como
56;3;La ciudad de las Breñas logró jugar en el Campeonato Argentino de Clubes en 
57;7;En el municipio de Colonia Benítez se encuentra
58;1;La patrona de Barranqueras es
59;1;El Patrono de la ciudad de Resistencia es:
60;2;En Presidencia Roque Saénz Peña se encuentra:
61;2;En Las Palmas se puede recorrer:
